n,float,f_ulp,f_hex,double,d_ulp,d_hex,big_dec,f_abs_err,d_abs_err
69,0.078966133296489715576171875,7.450580596923828E-9,0x1.4371fep-4,1.2505537363520939919681040919385850429534912109375,2.220446049250313E-16,0x1.40244a2785d98p0,1.198947966004230561135474952731452,1.119981832707740845559303077731452,0.0516057703478634308326291392071330429534912109375
70,0.297157585620880126953125,2.9802322387695312E-8,0x1.304a14p-2,0.31056100289582833084978119586594402790069580078125,5.551115123125783E-17,0x1.3e03b41b66f5p-2,0.483363188459877440531348047855322,0.186205602838997313578223047855322,0.17280218556404910968156685198937797209930419921875
71,0.923722445964813232421875,5.9604644775390625E-8,0x1.d8f226p-1,0.9528996020243252207393425123882479965686798095703125,1.1102230246251565E-16,0x1.e7e274e621bcap-1,1.232532837965212775023853572398747,0.308810392000399542601978572398747,0.2796332359408875542845110600104990034313201904296875
72,1.13510036468505859375,1.1920928955078125E-7,0x1.2295fp0,1.08754545348294850981574199977330863475799560546875,2.220446049250313E-16,0x1.166960fb9f6ccp0,0.372719761873106750847749268819969,0.762380602811951842902250731180031,0.71482569160984175896799273095333963475799560546875
73,0.6750428676605224609375,5.9604644775390625E-8,0x1.599f38p-1,0.801916473757497971774910183739848434925079345703125,1.1102230246251565E-16,0x1.9a94cbc9d2fe4p-1,1.074118984820190801083292950977113,0.399076117159668340145792950977113,0.272202511062692829308382767237264565074920654296875
74,1.33312284946441650390625,1.1920928955078125E-7,0x1.55478ap0,1.2784558023790122405216607148759067058563232421875,2.220446049250313E-16,0x1.4748e124996b8p0,0.835281158627291374640636610096099,0.497841690837125129265613389903901,0.4431746437517208658810241047798077058563232421875
75,0.000841617584228515625,5.820766091346741E-11,0x1.b94p-11,0.210475493606356423015313339419662952423095703125,2.7755575615628914E-17,0x1.af0dc68d30a8p-3,1.248040792635914610502606345059193,1.247199175051686094877606345059193,1.037565299029558187487293005639530047576904296875
76,0.00336434529162943363189697265625,2.3283064365386963E-10,0x1.b8f8b2p-9,0.70900217419890754211309058518963865935802459716796875,1.1102230246251565E-16,0x1.6b02553df453fp-1,0.319345710293812403980997158973323,0.315981365002182970349100186317073,0.38965646390509513813209342621631565935802459716796875
77,0.013423425145447254180908203125,9.313225746154785E-10,0x1.b7dbdap-7,1.327956447739296219623383876751177012920379638671875,2.220446049250313E-16,0x1.53f4f4298d77ep0,0.9714377931260709311283012642521017,0.9580143679806236769473930611271017,0.356518654613225288495082612499075312920379638671875
78,0.053153134882450103759765625,3.725290298461914E-9,0x1.b36e34p-5,0.0214208096800749814292430528439581394195556640625,3.469446951953614E-18,0x1.5ef56341e7ap-6,1.054677014763330774885131538076708,1.001523879880880671125365913076708,1.0332562050832557934558884852327498605804443359375
79,0.20413677394390106201171875,1.4901161193847656E-8,0x1.a21276p-3,0.08430668545824994419835007875008159317076206207275390625,1.3877787807814457E-17,0x1.5951f78e09981p-4,0.881677242643049975691564195190807,0.677540468699148913679845445190807,0.79737055718480003149321411644072540682923793792724609375
80,0.691531658172607421875,5.9604644775390625E-8,0x1.62107p-1,0.315903890194130898549929042928852140903472900390625,5.551115123125783E-17,0x1.437c4f34407a8p-2,1.194644689988245035310284793361782,0.503113031815637613435284793361782,0.878740799794114136760355750432929859096527099609375
81,1.331478595733642578125,1.1920928955078125E-7,0x1.54dbc8p0,0.96422975725716708605972371515235863626003265380859375,1.1102230246251565E-16,0x1.edaf85d27fc53p-1,0.497050954001649878126959251198157,0.834427641731992699998040748801843,0.46717880325551720793276446395420163626003265380859375
82,0.007408618927001953125,4.6566128730773926E-10,0x1.e588p-8,1.067701954688021981354495437699370086193084716796875,2.220446049250313E-16,0x1.1154ea5142a4ep0,1.247024863384748723525895864936109,1.239616244457746770400895864936109,0.179322908696726742171400427236738913806915283203125
83,0.02946981228888034820556640625,1.862645149230957E-9,0x1.e2d55ap-6,0.85084542661821860320969790336675941944122314453125,1.1102230246251565E-16,0x1.b3a203028d868p-1,0.322886423839741241193657711434710,0.293416611550860892988091305184710,0.52795900277847736201604019193204941944122314453125
84,0.115273840725421905517578125,7.450580596923828E-9,0x1.d82962p-4,1.2315678864814589843490466591902077198028564453125,2.220446049250313E-16,0x1.3b4808733de08p0,0.9787787672589139019715324568653274,0.8635049265334919964539543318653274,0.2527891192225450823775142023248803198028564453125
85,0.4212311804294586181640625,2.9802322387695312E-8,0x1.af573ap-2,0.3759931688886126721627078950405120849609375,5.551115123125783E-17,0x1.81045a6f958p-2,1.041091443325018162299888158172182,0.619860262895559544135825658172182,0.6650982744364054901371802631316699150390625
86,1.15261757373809814453125,1.1920928955078125E-7,0x1.2711f2p0,1.0798600864017482425794014488928951323032379150390625,2.220446049250313E-16,0x1.1471b5eb59eb1p0,0.912751593206364136342649647233803,0.239865980531734008188600352766197,0.1671084931953841062367518016590921323032379150390625
87,0.6248886585235595703125,5.9604644775390625E-8,0x1.3ff168p-1,0.821146926996219495009654565365053713321685791015625,1.1102230246251565E-16,0x1.a46d5eb951bf4p-1,1.151659960123188433133904162508618,0.526771301599628862821404162508618,0.330513033126968938124249597143564286678314208984375
88,1.3280971050262451171875,1.1920928955078125E-7,0x1.53fe2cp0,1.26174088083887436795293979230336844921112060546875,2.220446049250313E-16,0x1.4301734b3aaccp0,0.627677849239921816637362025229463,0.700419255786323300550137974770537,0.63406303159895255131557776707390544921112060546875
89,0.020862579345703125,1.862645149230957E-9,0x1.55dp-6,0.27099337221532149300173841766081750392913818359375,5.551115123125783E-17,0x1.157f495c63e7p-2,1.328772949680325204606089812440258,1.307910370334622079606089812440258,1.05777957746500371160435139477944049607086181640625
90,0.08214457333087921142578125,7.450580596923828E-9,0x1.5076d4p-4,0.86366126550739064082762297402950935065746307373046875,1.1102230246251565E-16,0x1.ba31cf345a38fp-1,0.018179143314844643615058037083487,0.063965430016034567810723212916513,0.84548212219254599721256493694602235065746307373046875
91,0.3083350956439971923828125,2.9802322387695312E-8,0x1.3bbc32p-2,1.21691271741608009193669204250909388065338134765625,2.220446049250313E-16,0x1.3787978363784p0,0.07172512950439359236847763743802920,0.23660996613960360001433486256197080,1.14518758791168649956821440507106468065338134765625
92,0.94812881946563720703125,5.9604644775390625E-8,0x1.e57124p-1,0.425021184237355242885314510203897953033447265625,5.551115123125783E-17,0x1.b338c0d9a064p-2,0.2714670354103082728342570172118356,0.6766617840553289341969929827881644,0.153554148827046970051057492992062353033447265625
93,1.0956704616546630859375,1.1920928955078125E-7,0x1.187ddcp0,1.15815571579784926115053167450241744518280029296875,2.220446049250313E-16,0x1.287ce49b06f8cp0,0.8647850876978483942582486392360028,0.2308853739568146916792513607639972,0.29337062810000086689228303526641464518280029296875
94,0.781200408935546875,5.9604644775390625E-8,0x1.8ff98p-1,0.6086488770857112484691242570988833904266357421875,1.1102230246251565E-16,0x1.37a0d35ba917p-1,1.215580607077667562523438313141533,0.434380198142120687523438313141533,0.6069317299919563140543140560426496095733642578125
95,1.2939794063568115234375,1.1920928955078125E-7,0x1.4b423cp0,1.323235141609753195979237716528587043285369873046875,2.220446049250313E-16,0x1.52bf89ca21beep0,0.429413791400737806296946923267290,0.864565614956073717140553076732710,0.893821350209015389682290793261297043285369873046875
96,0.152769565582275390625,1.4901161193847656E-8,0x1.38df4p-3,0.0400868464660621981465737917460501194000244140625,6.938893903907228E-18,0x1.486435d249dp-5,1.164466552867482138112041424606133,1.011696987285206747487041424606133,1.1243797064014199399654676328600828805999755859375
97,0.541062653064727783203125,5.9604644775390625E-8,0x1.15062ap-1,0.1555265200854678564468258628039620816707611083984375,2.7755575615628914E-17,0x1.3e84b02b6c138p-3,0.589919153228698832457089914240586,0.048856500163971049253964914240586,0.4343926331432309760102640514366239183292388916015625
98,1.28600418567657470703125,1.1920928955078125E-7,0x1.493792p0,0.5495405849921850549577584388316608965396881103515625,1.1102230246251565E-16,0x1.195d6230bb772p-1,1.315662790876600173460397842738741,0.029658605200025466429147842738741,0.7661222058844151185026394039070801034603118896484375
99,0.1825962066650390625,1.4901161193847656E-8,0x1.75f5p-3,1.2921777763080812828633270328282378613948822021484375,2.220446049250313E-16,0x1.4acc29a9dc787p0,0.069745425614787011959961896896766,0.112850781050252050540038103103234,1.2224323506932942709033651359314718613948822021484375
